folder,file,sha256,feature_id,feature_type,feature_type_cn,status,status_cn,sign,template_slot,component,apex_time_min,start_time_min,end_time_min,width_min,fwhm_min,top_width_ratio,height,prominence,relative_prominence,snr,area,symmetry,bilateral_depth,bilateral_depth_relative,signed_depth_relative,baseline_change_ratio,width_ratio_to_template,rt_error_min,confidence,reasons
2-鼓包谱图类型,A8-C2H2赶上鼓包.CSV,335644a38a5e7469885e7c79b7c628fa3d69354b138e6e048197199b7d769e7c,1,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T2,,0.501666666666667,0.481666666666667,0.53,0.04663145285289023,0.0360047822806168,0.24649787644540092,12.273294095498807,1.0545867532082607,0.005741986448109849,9.62147313669153,0.5742169132979217,0.43550260167568244,0.0,0.0,0.0668253115788035,0.05842037157506018,0.11711081637507428,0.01666666666666705,0.40572010178270235,rt_score=0.63;width_ratio=0.12;symmetry=0.44;snr=9.6;narrow_flat_or_asymmetric_vs_reference
3-噪音谱图类型,B1-噪音干扰1.CSV,2135e8cecbca875234fab48f9175979e242b7125e1d08b8d0fc140658e9eaa5e,1,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T2,,0.496666666666667,0.356666666666667,0.618333333333333,0.2607893505644167,0.09320326612411574,0.44115230266341027,90.0289119523818,90.23155102118912,1.0157053057323318,1372.8006491080923,9.506627118658932,0.5866245917238914,63.72734418181809,0.7173566327204429,1.0134242679466916,0.001343425965125782,0.6549496504617554,0.011666666666666992,0.6601431949604427,rt_score=0.74;width_ratio=0.65;symmetry=0.59;snr=1372.8;narrow_flat_or_asymmetric_vs_reference
3-噪音谱图类型,B1-噪音干扰1.CSV,2135e8cecbca875234fab48f9175979e242b7125e1d08b8d0fc140658e9eaa5e,3,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T4,,2.40333333333333,2.38,2.49333333333333,0.1109826747569313,0.06601060854907576,0.5640361031986391,0.0613127822422177,0.10373882250742962,0.0011677519807509157,45.39286238201407,0.0030369039965428774,0.25022755682915077,0.018869441558441613,0.0002124067655959343,0.0006901767455821232,1.7145540306391898,0.30029450633798355,0.04833333333334,0.43586821138902154,rt_score=0.61;width_ratio=0.30;symmetry=0.25;snr=45.4;narrow_flat_or_asymmetric_vs_reference
3-噪音谱图类型,B10-1噪音、波动比较多，识别成C2H2.CSV,ab5fa41fb647ab53c648ef18c6943b623d47cc969e23799accf7807011a92ba4,5,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T5,,2.88333333333333,2.82333333333333,2.915,0.08999078780123636,0.03820277654878696,0.19916232859168084,0.09411220888589959,0.2639268680634709,0.002647197888219277,24.18301928511347,0.001072924270063844,0.2598468053647467,0.20268848917748883,0.0020329743025176567,0.0009439495207380387,0.3863764275915592,0.2587202833704523,0.1208333333333349,0.27526900201821847,rt_score=0.20;width_ratio=0.26;symmetry=0.26;snr=24.2;narrow_flat_or_asymmetric_vs_reference
3-噪音谱图类型,B10-1噪音、波动比较多，识别成C2H2.CSV,ab5fa41fb647ab53c648ef18c6943b623d47cc969e23799accf7807011a92ba4,9,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T6,,4.10833333333333,3.975,4.22,0.24357700774287425,0.16934226606494282,0.16996207227532845,0.1503380652273127,0.35486395918005353,0.003559300840567159,41.66892764858611,0.012035082380035173,0.3893649034176533,0.14963022510822488,0.0015007976218056399,0.0015078972887785209,0.0915194907772033,0.5653284574596362,0.14000000000000057,0.4044405881359836,rt_score=0.34;width_ratio=0.57;symmetry=0.39;snr=41.7;narrow_flat_or_asymmetric_vs_reference
3-噪音谱图类型,B10-1噪音、波动比较多，识别成C2H2.CSV,ab5fa41fb647ab53c648ef18c6943b623d47cc969e23799accf7807011a92ba4,10,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T6,,4.30666666666667,4.25333333333333,4.32333333333333,0.06819491256950636,0.04712813837502997,0.15089765766987923,0.08487185459906754,0.15181628747695253,0.0015227239218010605,19.317001046809377,0.001827465342986111,0.24868165864701192,0.06323241991341982,0.0006342239033486533,0.0008512683680612404,0.07586199426225462,0.15827653474670628,0.05833333333333979,0.4803390140373368,rt_score=0.73;width_ratio=0.16;symmetry=0.25;snr=19.3;narrow_flat_or_asymmetric_vs_reference
3-噪音谱图类型,B11-噪音、波动比较多，识别成C2H2.CSV,b52cc47d4afd2aae132e0547efbdf85c8de0bb3e9a1544178ba5483d91f2c2e0,9,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T6,,4.26333333333333,4.17666666666667,4.365,0.18670913265875572,0.09022345328427031,0.4666298676911194,0.3823204471145222,0.6736117115367726,0.003959700958993816,58.31744977946923,0.029760107738378516,0.42486521781485687,0.11961064935065124,0.0007031089199134146,0.0022473995258018536,0.9973534146708906,0.4333413360222578,0.01499999999999968,0.5982795927849761,rt_score=0.93;width_ratio=0.43;symmetry=0.42;snr=58.3;narrow_flat_or_asymmetric_vs_reference
3-噪音谱图类型,B11-噪音、波动比较多，识别成C2H2.CSV,b52cc47d4afd2aae132e0547efbdf85c8de0bb3e9a1544178ba5483d91f2c2e0,10,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T6,,4.33333333333333,4.30333333333333,4.35333333333333,0.04840077495325437,0.026659172106763537,0.3060828392947243,0.24518807847302415,0.32056992002088164,0.0018844105558012722,26.20632654494877,0.005190066979780616,0.6230641181560733,0.3366153419913438,0.0019787305797494175,0.0014412924431621683,0.23564567545263096,0.11233546096049685,0.08499999999999996,0.4906220131170854,rt_score=0.60;width_ratio=0.11;symmetry=0.62;snr=26.2;narrow_flat_or_asymmetric_vs_reference
3-噪音谱图类型,B12-噪音波动多.CSV,11d4e687b3c409fcf7be5bee419eb879c2b3256ef6440e0f484beea72f3f3b2b,6,electrical_spike,正向电尖峰,artifact,干扰/伪峰,positive,,,1.1,0.971666666666667,1.295,0.3215405800391845,0.11114649244359412,0.2231987341654499,480.6316462040515,500.5912835218057,0.9184314085295864,993.4543644034758,56.27089607773314,0.8157783793878558,324.92010053030265,0.5961286890378339,0.8818115982793622,0.0037356422486147776,,,0.0,narrow_or_impulse_like_outside_template
3-噪音谱图类型,B12-噪音波动多.CSV,11d4e687b3c409fcf7be5bee419eb879c2b3256ef6440e0f484beea72f3f3b2b,12,electrical_interference_candidate,电信号干扰候选,artifact,干扰/伪峰,positive,T5,,2.865,2.80666666666667,2.89666666666667,0.08903601319490513,0.05690635467045526,0.2540447914534088,1.750808891308469,1.2047778420829032,0.0022103976774921954,15.369656212725499,0.1141310316372878,0.42904131639739007,1.1933981363636335,0.002189519409139475,0.0032121971137767853,0.7167300891459634,0.25597534066308847,0.13916666666666488,0.2570625049929895,rt_score=0.07;width_ratio=0.26;symmetry=0.43;snr=15.4;narrow_flat_or_asymmetric_vs_reference
